ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785086825.361,0.0,1.0,12.288735,,664.0,689.0,45662928.0,227086.0,3758503040.0,0.057461,0.0,0.0,160587.0
1785086826.376,1.015,1.0,13.708697,,1611.0,1635.0,36375296.0,163522.0,4132364416.0,0.072356,1.0,1.0,176460.0
1785086827.377,2.016,1.0,15.256208,,1611.0,1627.0,27517768.0,114734.0,4500290856.0,0.077371,0.0,0.0,192280.0
1785086828.377,3.016,1.0,16.858058,,1611.0,1627.0,32771584.0,145293.0,4871884680.0,0.079487,0.0,0.0,208281.0
1785086829.381,4.02,1.0,18.497777,,1611.0,1628.0,42861744.0,203716.0,5245484232.0,0.081305,2.0,2.0,224370.0
1785086830.384,5.024,1.0,20.09378,,1611.0,1630.0,45105032.0,221680.0,5618303736.0,0.084124,0.0,0.0,240401.0
1785086831.387,6.026,1.0,21.647334,,1611.0,1630.0,31835832.0,137631.0,5989623528.0,0.09528,0.0,0.0,256390.0
1785086832.39,7.029,1.0,23.276327,,1611.0,1630.0,30849080.0,131715.0,6364127984.0,0.098434,0.0,0.0,272503.0
1785086833.393,8.032,1.0,24.855054,,1611.0,1627.0,33500408.0,150051.0,6737510944.0,0.102108,0.0,0.0,288553.0
1785086834.393,9.032,1.0,26.507399,,1611.0,1629.0,43114320.0,205675.0,7108969368.0,0.10379,1.0,1.0,304556.0
1785086835.393,10.032,1.0,28.19858,,1611.0,1629.0,31359272.0,137802.0,7480693576.0,0.105375,2.0,2.0,320539.0
1785086836.393,11.032,1.0,29.823161,,1611.0,1629.0,43344832.0,203621.0,7852186576.0,0.10703,0.0,0.0,336549.0
1785086837.398,12.037,1.0,31.291226,,1621.0,1639.0,44069136.0,205093.0,8196607072.0,0.116647,0.0,0.0,351284.0
1785086838.399,13.038,1.0,32.924016,,1621.0,1637.0,26867400.0,110168.0,8577049600.0,0.122695,0.0,0.0,367609.0
1785086839.399,14.039,1.0,34.570512,,1621.0,1638.0,28648760.0,118575.0,8949900384.0,0.12423,1.0,1.0,383663.0
1785086840.399,15.039,1.0,36.085909,,1628.0,1646.0,34875288.0,155971.0,9319576432.0,0.139212,2.0,2.0,399431.0
1785086841.4,16.039,1.0,37.48596,,1628.0,1646.0,44231184.0,211097.0,9692537736.0,0.182005,1.0,1.0,415436.0
1785086842.4,17.039,1.0,39.127761,,1628.0,1644.0,44531568.0,212902.0,10064473272.0,0.183532,0.0,0.0,431444.0
1785086843.401,18.04,1.0,40.764154,,1628.0,1644.0,26727952.0,107033.0,10437109000.0,0.185082,1.0,1.0,447474.0
1785086844.401,19.041,1.0,42.345546,,1628.0,1645.0,30044648.0,126557.0,10808767896.0,0.188599,1.0,1.0,463466.0
