ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785087183.638,0.0,1.0,5.819156,,11.0,147.0,50117216.0,201399.0,2156557912.0,1.990288,0.0,0.0,89715.0
1785087184.638,1.0,1.0,6.985828,,1624.0,1763.0,39564472.0,179626.0,2486345960.0,2.021988,0.0,0.0,103499.0
1785087185.641,2.004,1.0,8.213497,,1691.0,2036.0,56283144.0,278942.0,2801006480.0,2.096816,11.0,11.0,117044.0
1785087186.642,3.004,1.0,8.887083,,1876.0,2485.0,60550264.0,305294.0,3018711608.0,2.466881,57.0,57.0,126786.0
1785087187.642,4.005,1.0,9.273927,,1960.0,2369.0,60501720.0,255052.0,3171672472.0,2.563128,65.0,65.0,132819.0
1785087188.644,5.007,1.0,10.090746,,2118.0,2828.0,54868944.0,263218.0,3472593200.0,2.766874,12.0,12.0,147127.0
1785087189.645,6.008,1.0,10.571956,,2214.0,2357.0,66307064.0,295443.0,3637181032.0,2.870727,3.0,3.0,152385.0
1785087190.647,7.009,1.0,11.259636,,2367.0,2657.0,45264000.0,186250.0,3847013184.0,3.200636,1.0,1.0,161236.0
1785087191.648,8.01,1.0,11.637888,,2537.0,3649.0,74229352.0,317550.0,4013574720.0,3.289559,6.0,6.0,169644.0
1785087192.65,9.012,1.0,11.882139,,2536.0,2672.0,67149288.0,305574.0,4094978024.0,3.307161,0.0,0.0,171750.0
1785087193.653,10.015,1.0,12.733771,,2561.0,3868.0,73368728.0,348592.0,4363201768.0,3.425112,14.0,14.0,183184.0
1785087194.656,11.018,1.0,13.298577,,2818.0,3982.0,97792024.0,503187.0,4575208760.0,3.624013,52.0,52.0,192425.0
1785087195.656,12.019,1.0,13.772116,,2952.0,3088.0,56280392.0,230268.0,4737750184.0,3.774917,0.0,0.0,198861.0
1785087196.661,13.024,1.0,14.604045,,3111.0,3925.0,80831864.0,371381.0,4967231640.0,4.003891,55.0,55.0,208871.0
1785087197.663,14.025,1.0,15.185294,,3227.0,4153.0,94676080.0,397457.0,5157983272.0,4.252818,27.0,27.0,218124.0
1785087198.665,15.028,1.0,15.63227,,3527.0,3855.0,183653096.0,980889.0,5309524152.0,4.30787,4.0,4.0,222954.0
1785087199.669,16.032,1.0,15.831638,,3542.0,3686.0,88686392.0,388480.0,5360261672.0,4.332941,3.0,3.0,225108.0
1785087200.67,17.033,1.0,16.35225,,3570.0,3950.0,83779976.0,378325.0,5534635272.0,4.448711,4.0,4.0,232356.0
1785087201.676,18.038,1.0,17.033283,,3801.0,4836.0,107184408.0,523276.0,5728062600.0,4.767374,92.0,92.0,243224.0
1785087202.677,19.039,1.0,17.856328,,3977.0,4934.0,114776560.0,533385.0,5998326888.0,4.848934,9.0,9.0,254626.0
1785087203.678,20.04,1.0,18.180075,,3978.0,4510.0,89614176.0,395120.0,6095889128.0,5.030748,61.0,61.0,256360.0
1785087204.679,21.041,1.0,18.712311,,4125.0,4261.0,63610104.0,229088.0,6225878920.0,5.093219,0.0,0.0,261881.0
1785087205.679,22.042,1.0,19.271141,,4159.0,5033.0,118183592.0,573392.0,6407127928.0,5.240705,21.0,21.0,269598.0
1785087208.716,25.078,1.0,21.229233,,4650.0,4978.0,71959848.0,260638.0,7032523920.0,5.785749,58.0,58.0,296201.0
1785087209.719,26.082,1.0,22.003271,,4705.0,5066.0,106465400.0,466154.0,7251618944.0,5.927581,6.0,6.0,305560.0
1785087210.722,27.084,1.0,23.01555,,4715.0,4959.0,110029376.0,488104.0,7525664376.0,5.949265,2.0,2.0,317375.0
1785087211.722,28.084,1.0,23.577421,,4779.0,5610.0,94737032.0,383073.0,7703071920.0,6.364165,86.0,86.0,326455.0
1785087213.556,29.919,1.0,24.315942,,5033.0,5519.0,118920792.0,523850.0,7951363216.0,6.497888,82.0,82.0,335112.0
1785087214.56,30.923,1.0,25.742948,,5216.0,5768.0,146792760.0,621750.0,8299405552.0,6.741364,16.0,16.0,352438.0
1785087216.211,32.573,1.0,26.08252,,5269.0,5489.0,112043496.0,474904.0,8398313992.0,6.752324,4.0,4.0,354103.0
1785087217.217,33.58,1.0,26.681382,,5281.0,6036.0,102771560.0,306696.0,8582866488.0,6.808582,2.0,2.0,363576.0
1785087218.219,34.581,1.0,27.284631,,5284.0,6791.0,143093152.0,669734.0,8730922920.0,6.916329,28.0,28.0,372428.0
1785087219.219,35.582,1.0,27.961114,,5492.0,9679.0,133941680.0,604276.0,8937058568.0,7.155608,2.0,2.0,376205.0
1785087220.222,36.584,1.0,29.078206,,5734.0,9248.0,164673224.0,503589.0,9258476696.0,7.265518,24.0,24.0,390083.0
1785087221.228,37.591,1.0,29.458494,,5862.0,9848.0,173107912.0,798532.0,9343982880.0,7.30257,30.0,30.0,394315.0
1785087222.233,38.595,1.0,29.865309,,5877.0,7114.0,182430464.0,591506.0,9444376864.0,7.369777,1.0,1.0,397968.0
1785087223.234,39.597,1.0,30.614672,,5913.0,6073.0,98136136.0,355973.0,9656326040.0,7.563357,5.0,5.0,406761.0
1785087224.237,40.599,1.0,30.877916,,5918.0,6054.0,91220112.0,312958.0,9720730968.0,7.574886,0.0,0.0,409482.0
1785087225.243,41.605,1.0,31.525409,,5924.0,6187.0,133345760.0,572245.0,9908299488.0,7.668548,2.0,2.0,417622.0
1785087226.248,42.61,1.0,32.805147,,5995.0,6656.0,147606896.0,584119.0,10231186608.0,7.947706,1.0,1.0,431367.0
1785087227.705,44.067,1.0,32.967066,,6000.0,6543.0,114159512.0,311236.0,10258888328.0,8.006968,85.0,85.0,435595.0
1785087228.913,45.275,1.0,34.220266,,6139.0,6923.0,114206184.0,461389.0,10638883520.0,8.132168,125.0,125.0,448445.0
1785087229.914,46.276,1.0,35.107524,,6339.0,7111.0,193479776.0,846434.0,10904950416.0,8.240556,15.0,15.0,459892.0
1785087230.916,47.278,1.0,35.233135,,6345.0,6482.0,172648928.0,747512.0,10951086456.0,8.240556,1.0,1.0,461603.0
1785087231.918,48.28,1.0,35.900503,,6377.0,6533.0,162407680.0,737320.0,11122122688.0,8.35853,9.0,9.0,469196.0
1785087232.922,49.284,1.0,36.341756,,6377.0,6514.0,90750912.0,284618.0,11219091984.0,8.382553,0.0,0.0,472985.0
1785087233.924,50.286,1.0,36.836977,,6378.0,6556.0,123564616.0,496381.0,11337310680.0,8.384946,1.0,1.0,478049.0
1785087234.928,51.29,1.0,37.738881,,6401.0,6838.0,159160416.0,711978.0,11587156776.0,8.720089,2.0,2.0,488684.0
1785087235.929,52.291,1.0,38.92209,,6497.0,7790.0,171024080.0,695898.0,11926346056.0,8.938952,113.0,113.0,505053.0
1785087237.339,53.701,1.0,40.175743,,6516.0,7854.0,179047176.0,720335.0,12205781896.0,9.194686,109.0,109.0,516817.0
1785087238.687,55.05,1.0,40.412433,,6626.0,7378.0,167530176.0,749629.0,12324141176.0,9.240187,15.0,15.0,522426.0
1785087239.689,56.051,1.0,41.853591,,6708.0,8487.0,190012640.0,864121.0,12586791560.0,9.27898,127.0,127.0,535862.0
1785087241.215,57.578,1.0,42.222389,,6709.0,9496.0,168177784.0,764602.0,12772535776.0,9.357613,12.0,12.0,545280.0
1785087242.216,58.579,1.0,42.754532,,6714.0,6861.0,195399176.0,800548.0,12938651200.0,9.426166,0.0,0.0,545874.0
1785087243.23,59.592,1.0,42.971046,,6714.0,6850.0,205858048.0,863825.0,12949110072.0,9.426166,0.0,0.0,546290.0
1785087244.231,60.593,1.0,43.4622,,6714.0,6886.0,165362920.0,705455.0,13031167176.0,9.447203,1.0,1.0,549796.0
